Titrant Volume (ml)	pH	F1
0.000000	7.196688	0.000000
0.100000	7.082800	0.000000
0.200000	6.953747	0.000000
0.300000	6.825024	0.000000
0.400000	6.705794	0.000000
0.500000	6.607417	0.000000
0.600000	6.481057	0.000000
0.700000	6.386040	0.000000
0.800000	6.309449	0.000000
0.900000	6.186755	0.000001
1.000000	6.050339	0.000001
1.100000	5.989067	0.000001
1.200000	5.900099	0.000001
1.300000	5.812738	0.000002
1.400000	5.675766	0.000002
1.500000	5.580674	0.000003
1.600000	5.438933	0.000004
1.700000	5.298106	0.000005
1.800000	5.139047	0.000008
1.900000	4.867798	0.000014
2.000000	4.482805	0.000034
2.100000	3.967242	0.000112
2.200000	3.729261	0.000195
2.300000	3.518128	0.000317
